FEATURE_SET,PERCENTAGE,RANKING,CLASSIFIER,F1,ACC
DEP,0.1,betweeness,random forrest,0.36438109281559766,0.8862275449101796
DEP,0.1,betweeness,decision tree,0.30150241914947795,0.562874251497006
DEP,0.1,betweeness,mlp,0.36438109281559766,0.8862275449101796
DEP,0.1,betweeness,NB,0.36438109281559766,0.8862275449101796
DEP,0.1,betweeness,SVM,0.36438109281559766,0.8862275449101796
DEP,0.1,betweeness,boosting,0.36438109281559766,0.8862275449101796
DEP,0.1,pagerank,random forrest,0.34773780062186693,0.8622754491017964
DEP,0.1,pagerank,decision tree,0.39792663476874,0.8562874251497006
DEP,0.1,pagerank,mlp,0.3121019108280255,0.8802395209580839
DEP,0.1,pagerank,NB,0.3121019108280255,0.8802395209580839
DEP,0.1,pagerank,SVM,0.3121019108280255,0.8802395209580839
DEP,0.1,pagerank,boosting,0.3121019108280255,0.8802395209580839
DEP,0.1,degree,random forrest,0.3695029924538121,0.8502994011976048
DEP,0.1,degree,decision tree,0.39792663476874,0.8562874251497006
DEP,0.1,degree,mlp,0.36438109281559766,0.8862275449101796
DEP,0.1,degree,NB,0.36438109281559766,0.8862275449101796
DEP,0.1,degree,SVM,0.36438109281559766,0.8862275449101796
DEP,0.1,degree,boosting,0.39792663476874,0.8562874251497006
DEP,0.1,stratified,random forrest,0.4769414575866189,0.8922155688622755
DEP,0.1,stratified,decision tree,0.40986790986790983,0.8263473053892215
DEP,0.1,stratified,mlp,0.43945868945868943,0.8922155688622755
DEP,0.1,stratified,NB,0.39487607908660544,0.7544910179640718
DEP,0.1,stratified,SVM,0.43091763541924316,0.8862275449101796
DEP,0.1,stratified,boosting,0.4171478629947685,0.8802395209580839
DEP,0.2,betweeness,random forrest,0.4227994227994228,0.8802395209580839
DEP,0.2,betweeness,decision tree,0.36056132677237107,0.8023952095808383
DEP,0.2,betweeness,mlp,0.44844587352625936,0.8982035928143712
DEP,0.2,betweeness,NB,0.25877215083564287,0.5209580838323353
DEP,0.2,betweeness,SVM,0.44844587352625936,0.8982035928143712
DEP,0.2,betweeness,boosting,0.44844587352625936,0.8982035928143712
DEP,0.2,pagerank,random forrest,0.4227994227994228,0.8802395209580839
DEP,0.2,pagerank,decision tree,0.36056132677237107,0.8023952095808383
DEP,0.2,pagerank,mlp,0.44844587352625936,0.8982035928143712
DEP,0.2,pagerank,NB,0.2565640410502466,0.5149700598802395
DEP,0.2,pagerank,SVM,0.44844587352625936,0.8982035928143712
DEP,0.2,pagerank,boosting,0.44844587352625936,0.8982035928143712
DEP,0.2,degree,random forrest,0.4034348165495707,0.8622754491017964
DEP,0.2,degree,decision tree,0.38843843843843845,0.8203592814371258
